solution_id,subject_name,unit_number,topic_name,difficulty_level,requires_diagram,marks,question_text,solution_text
1,Operating System,1,General OS,Easy,No,2,What is operating system?,An operating system is system software that manages hardware and software resources and provides services for computer programs.
2,Operating System,2,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
3,Operating System,3,General OS,Easy,No,2,What is system calls?,System calls are the interface between user programs and the operating system to request services.
4,Operating System,4,General OS,Easy,Yes,2,Explain os structure with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
5,Operating System,5,General OS,Easy,No,2,What is types of os?,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
6,Operating System,1,General OS,Easy,No,2,Explain operating system with example.,An operating system is system software that manages hardware and software resources and provides services for computer programs.
7,Operating System,2,General OS,Easy,No,2,What is kernel?,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
8,Operating System,3,General OS,Easy,No,2,Explain system calls with example.,System calls are the interface between user programs and the operating system to request services.
9,Operating System,4,General OS,Easy,Yes,2,What is os structure?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
10,Operating System,5,General OS,Easy,No,2,Explain types of os with example.,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
11,Operating System,1,General OS,Easy,No,2,What is operating system?,An operating system is system software that manages hardware and software resources and provides services for computer programs.
12,Operating System,2,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
13,Operating System,3,General OS,Easy,No,2,What is system calls?,System calls are the interface between user programs and the operating system to request services.
14,Operating System,4,General OS,Easy,Yes,2,Explain os structure with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
15,Operating System,5,General OS,Easy,No,2,What is types of os?,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
16,Operating System,1,General OS,Easy,No,2,Explain operating system with example.,An operating system is system software that manages hardware and software resources and provides services for computer programs.
17,Operating System,2,General OS,Easy,No,2,What is kernel?,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
18,Operating System,3,General OS,Easy,No,2,Explain system calls with example.,System calls are the interface between user programs and the operating system to request services.
19,Operating System,4,General OS,Easy,Yes,2,What is os structure?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
20,Operating System,5,General OS,Easy,No,2,Explain types of os with example.,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
21,Operating System,1,General OS,Easy,No,2,What is operating system?,An operating system is system software that manages hardware and software resources and provides services for computer programs.
22,Operating System,2,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
23,Operating System,3,General OS,Easy,No,2,What is system calls?,System calls are the interface between user programs and the operating system to request services.
24,Operating System,4,General OS,Easy,Yes,2,Explain os structure with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
25,Operating System,5,General OS,Easy,No,2,What is types of os?,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
26,Operating System,1,General OS,Easy,No,2,Explain operating system with example.,An operating system is system software that manages hardware and software resources and provides services for computer programs.
27,Operating System,2,General OS,Easy,No,2,What is kernel?,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
28,Operating System,3,General OS,Easy,No,2,Explain system calls with example.,System calls are the interface between user programs and the operating system to request services.
29,Operating System,4,General OS,Easy,Yes,2,What is os structure?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
30,Operating System,5,General OS,Easy,No,2,Explain types of os with example.,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
31,Operating System,1,General OS,Easy,No,2,What is operating system?,An operating system is system software that manages hardware and software resources and provides services for computer programs.
32,Operating System,2,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
33,Operating System,3,General OS,Easy,No,2,What is system calls?,System calls are the interface between user programs and the operating system to request services.
34,Operating System,4,General OS,Easy,Yes,2,Explain os structure with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
35,Operating System,5,General OS,Easy,No,2,What is types of os?,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
36,Operating System,1,General OS,Easy,No,2,Explain operating system with example.,An operating system is system software that manages hardware and software resources and provides services for computer programs.
37,Operating System,2,General OS,Easy,No,2,What is kernel?,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
38,Operating System,3,General OS,Easy,No,2,Explain system calls with example.,System calls are the interface between user programs and the operating system to request services.
39,Operating System,4,General OS,Easy,Yes,2,What is os structure?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
40,Operating System,5,General OS,Easy,No,2,Explain types of os with example.,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
41,Operating System,1,General OS,Easy,No,2,What is operating system?,An operating system is system software that manages hardware and software resources and provides services for computer programs.
42,Operating System,2,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
43,Operating System,3,General OS,Easy,No,2,What is system calls?,System calls are the interface between user programs and the operating system to request services.
44,Operating System,4,General OS,Easy,Yes,2,Explain os structure with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
45,Operating System,5,General OS,Easy,No,2,What is types of os?,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
46,Operating System,1,General OS,Easy,No,2,Explain operating system with example.,An operating system is system software that manages hardware and software resources and provides services for computer programs.
47,Operating System,2,General OS,Easy,No,2,What is kernel?,"Kernel is the core part of an operating system that manages system resources like CPU, memory, and devices."
48,Operating System,3,General OS,Easy,No,2,Explain system calls with example.,System calls are the interface between user programs and the operating system to request services.
49,Operating System,4,General OS,Easy,Yes,2,What is os structure?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
50,Operating System,5,General OS,Easy,No,2,Explain types of os with example.,"Types of operating systems include batch OS, time-sharing OS, distributed OS, and real-time OS."
51,Operating System,1,General OS,Easy,No,2,What is process?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
52,Operating System,2,General OS,Easy,No,2,Explain thread with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
53,Operating System,3,General OS,Easy,No,2,What is concurrency?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
54,Operating System,4,General OS,Easy,No,2,Explain semaphore with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
55,Operating System,5,General OS,Easy,No,2,What is deadlock?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
56,Operating System,1,General OS,Easy,No,2,Explain process with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
57,Operating System,2,General OS,Easy,No,2,What is thread?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
58,Operating System,3,General OS,Easy,No,2,Explain concurrency with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
59,Operating System,4,General OS,Easy,No,2,What is semaphore?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
60,Operating System,5,General OS,Easy,No,2,Explain deadlock with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
61,Operating System,1,General OS,Easy,No,2,What is process?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
62,Operating System,2,General OS,Easy,No,2,Explain thread with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
63,Operating System,3,General OS,Easy,No,2,What is concurrency?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
64,Operating System,4,General OS,Easy,No,2,Explain semaphore with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
65,Operating System,5,General OS,Easy,No,2,What is deadlock?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
66,Operating System,1,General OS,Easy,No,2,Explain process with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
67,Operating System,2,General OS,Easy,No,2,What is thread?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
68,Operating System,3,General OS,Easy,No,2,Explain concurrency with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
69,Operating System,4,General OS,Easy,No,2,What is semaphore?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
70,Operating System,5,General OS,Easy,No,2,Explain deadlock with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
71,Operating System,1,General OS,Easy,No,2,What is process?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
72,Operating System,2,General OS,Easy,No,2,Explain thread with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
73,Operating System,3,General OS,Easy,No,2,What is concurrency?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
74,Operating System,4,General OS,Easy,No,2,Explain semaphore with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
75,Operating System,5,General OS,Easy,No,2,What is deadlock?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
76,Operating System,1,General OS,Easy,No,2,Explain process with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
77,Operating System,2,General OS,Easy,No,2,What is thread?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
78,Operating System,3,General OS,Easy,No,2,Explain concurrency with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
79,Operating System,4,General OS,Easy,No,2,What is semaphore?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
80,Operating System,5,General OS,Easy,No,2,Explain deadlock with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
81,Operating System,1,General OS,Easy,No,2,What is process?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
82,Operating System,2,General OS,Easy,No,2,Explain thread with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
83,Operating System,3,General OS,Easy,No,2,What is concurrency?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
84,Operating System,4,General OS,Easy,No,2,Explain semaphore with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
85,Operating System,5,General OS,Easy,No,2,What is deadlock?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
86,Operating System,1,General OS,Easy,No,2,Explain process with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
87,Operating System,2,General OS,Easy,No,2,What is thread?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
88,Operating System,3,General OS,Easy,No,2,Explain concurrency with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
89,Operating System,4,General OS,Easy,No,2,What is semaphore?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
90,Operating System,5,General OS,Easy,No,2,Explain deadlock with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
91,Operating System,1,General OS,Easy,No,2,What is process?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
92,Operating System,2,General OS,Easy,No,2,Explain thread with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
93,Operating System,3,General OS,Easy,No,2,What is concurrency?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
94,Operating System,4,General OS,Easy,No,2,Explain semaphore with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
95,Operating System,5,General OS,Easy,No,2,What is deadlock?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
96,Operating System,1,General OS,Easy,No,2,Explain process with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
97,Operating System,2,General OS,Easy,No,2,What is thread?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
98,Operating System,3,General OS,Easy,No,2,Explain concurrency with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
99,Operating System,4,General OS,Easy,No,2,What is semaphore?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
100,Operating System,5,General OS,Easy,No,2,Explain deadlock with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
101,Operating System,1,General OS,Easy,No,2,What is cpu scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
102,Operating System,2,General OS,Easy,No,2,Explain fcfs with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
103,Operating System,3,General OS,Easy,No,2,What is sjf?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
104,Operating System,4,General OS,Easy,No,2,Explain round robin with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
105,Operating System,5,General OS,Easy,No,2,What is priority scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
106,Operating System,1,General OS,Easy,No,2,Explain cpu scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
107,Operating System,2,General OS,Easy,No,2,What is fcfs?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
108,Operating System,3,General OS,Easy,No,2,Explain sjf with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
109,Operating System,4,General OS,Easy,No,2,What is round robin?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
110,Operating System,5,General OS,Medium,No,5,Explain priority scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
111,Operating System,1,General OS,Easy,No,2,What is cpu scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
112,Operating System,2,General OS,Easy,No,2,Explain fcfs with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
113,Operating System,3,General OS,Easy,No,2,What is sjf?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
114,Operating System,4,General OS,Easy,No,2,Explain round robin with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
115,Operating System,5,General OS,Easy,No,2,What is priority scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
116,Operating System,1,General OS,Easy,No,2,Explain cpu scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
117,Operating System,2,General OS,Easy,No,2,What is fcfs?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
118,Operating System,3,General OS,Easy,No,2,Explain sjf with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
119,Operating System,4,General OS,Easy,No,2,What is round robin?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
120,Operating System,5,General OS,Medium,No,5,Explain priority scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
121,Operating System,1,General OS,Easy,No,2,What is cpu scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
122,Operating System,2,General OS,Easy,No,2,Explain fcfs with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
123,Operating System,3,General OS,Easy,No,2,What is sjf?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
124,Operating System,4,General OS,Easy,No,2,Explain round robin with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
125,Operating System,5,General OS,Easy,No,2,What is priority scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
126,Operating System,1,General OS,Easy,No,2,Explain cpu scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
