solution_id,subject_name,unit_number,topic_name,difficulty_level,requires_diagram,marks,question_text,solution_text
127,Operating System,2,General OS,Easy,No,2,What is fcfs?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
128,Operating System,3,General OS,Easy,No,2,Explain sjf with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
129,Operating System,4,General OS,Easy,No,2,What is round robin?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
130,Operating System,5,General OS,Medium,No,5,Explain priority scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
131,Operating System,1,General OS,Easy,No,2,What is cpu scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
132,Operating System,2,General OS,Easy,No,2,Explain fcfs with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
133,Operating System,3,General OS,Easy,No,2,What is sjf?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
134,Operating System,4,General OS,Easy,No,2,Explain round robin with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
135,Operating System,5,General OS,Easy,No,2,What is priority scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
136,Operating System,1,General OS,Easy,No,2,Explain cpu scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
137,Operating System,2,General OS,Easy,No,2,What is fcfs?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
138,Operating System,3,General OS,Easy,No,2,Explain sjf with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
139,Operating System,4,General OS,Easy,No,2,What is round robin?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
140,Operating System,5,General OS,Medium,No,5,Explain priority scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
141,Operating System,1,General OS,Easy,No,2,What is cpu scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
142,Operating System,2,General OS,Easy,No,2,Explain fcfs with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
143,Operating System,3,General OS,Easy,No,2,What is sjf?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
144,Operating System,4,General OS,Easy,No,2,Explain round robin with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
145,Operating System,5,General OS,Easy,No,2,What is priority scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
146,Operating System,1,General OS,Easy,No,2,Explain cpu scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
147,Operating System,2,General OS,Easy,No,2,What is fcfs?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
148,Operating System,3,General OS,Easy,No,2,Explain sjf with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
149,Operating System,4,General OS,Easy,No,2,What is round robin?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
150,Operating System,5,General OS,Medium,No,5,Explain priority scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
151,Operating System,1,General OS,Easy,No,2,What is paging?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
152,Operating System,2,General OS,Easy,No,2,Explain segmentation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
153,Operating System,3,General OS,Easy,No,2,What is virtual memory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
154,Operating System,4,General OS,Easy,No,2,Explain page replacement with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
155,Operating System,5,General OS,Easy,No,2,What is memory allocation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
156,Operating System,1,General OS,Easy,No,2,Explain paging with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
157,Operating System,2,General OS,Easy,No,2,What is segmentation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
158,Operating System,3,General OS,Easy,No,2,Explain virtual memory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
159,Operating System,4,General OS,Easy,No,2,What is page replacement?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
160,Operating System,5,General OS,Easy,No,2,Explain memory allocation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
161,Operating System,1,General OS,Easy,No,2,What is paging?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
162,Operating System,2,General OS,Easy,No,2,Explain segmentation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
163,Operating System,3,General OS,Easy,No,2,What is virtual memory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
164,Operating System,4,General OS,Easy,No,2,Explain page replacement with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
165,Operating System,5,General OS,Easy,No,2,What is memory allocation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
166,Operating System,1,General OS,Easy,No,2,Explain paging with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
167,Operating System,2,General OS,Easy,No,2,What is segmentation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
168,Operating System,3,General OS,Easy,No,2,Explain virtual memory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
169,Operating System,4,General OS,Easy,No,2,What is page replacement?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
170,Operating System,5,General OS,Easy,No,2,Explain memory allocation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
171,Operating System,1,General OS,Easy,No,2,What is paging?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
172,Operating System,2,General OS,Easy,No,2,Explain segmentation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
173,Operating System,3,General OS,Easy,No,2,What is virtual memory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
174,Operating System,4,General OS,Easy,No,2,Explain page replacement with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
175,Operating System,5,General OS,Easy,No,2,What is memory allocation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
176,Operating System,1,General OS,Easy,No,2,Explain paging with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
177,Operating System,2,General OS,Easy,No,2,What is segmentation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
178,Operating System,3,General OS,Easy,No,2,Explain virtual memory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
179,Operating System,4,General OS,Easy,No,2,What is page replacement?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
180,Operating System,5,General OS,Easy,No,2,Explain memory allocation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
181,Operating System,1,General OS,Easy,No,2,What is paging?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
182,Operating System,2,General OS,Easy,No,2,Explain segmentation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
183,Operating System,3,General OS,Easy,No,2,What is virtual memory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
184,Operating System,4,General OS,Easy,No,2,Explain page replacement with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
185,Operating System,5,General OS,Easy,No,2,What is memory allocation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
186,Operating System,1,General OS,Easy,No,2,Explain paging with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
187,Operating System,2,General OS,Easy,No,2,What is segmentation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
188,Operating System,3,General OS,Easy,No,2,Explain virtual memory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
189,Operating System,4,General OS,Easy,No,2,What is page replacement?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
190,Operating System,5,General OS,Easy,No,2,Explain memory allocation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
191,Operating System,1,General OS,Easy,No,2,What is paging?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
192,Operating System,2,General OS,Easy,No,2,Explain segmentation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
193,Operating System,3,General OS,Easy,No,2,What is virtual memory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
194,Operating System,4,General OS,Easy,No,2,Explain page replacement with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
195,Operating System,5,General OS,Easy,No,2,What is memory allocation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
196,Operating System,1,General OS,Easy,No,2,Explain paging with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
197,Operating System,2,General OS,Easy,No,2,What is segmentation?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
198,Operating System,3,General OS,Easy,No,2,Explain virtual memory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
199,Operating System,4,General OS,Easy,No,2,What is page replacement?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
200,Operating System,5,General OS,Easy,No,2,Explain memory allocation with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
201,Operating System,1,General OS,Easy,No,2,What is i/o system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
202,Operating System,2,General OS,Easy,No,2,Explain disk scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
203,Operating System,3,General OS,Easy,No,2,What is raid?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
204,Operating System,4,General OS,Easy,No,2,Explain file system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
205,Operating System,5,General OS,Easy,No,2,What is directory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
206,Operating System,1,General OS,Easy,No,2,Explain i/o system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
207,Operating System,2,General OS,Easy,No,2,What is disk scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
208,Operating System,3,General OS,Easy,No,2,Explain raid with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
209,Operating System,4,General OS,Easy,No,2,What is file system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
210,Operating System,5,General OS,Easy,No,2,Explain directory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
211,Operating System,1,General OS,Easy,No,2,What is i/o system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
212,Operating System,2,General OS,Easy,No,2,Explain disk scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
213,Operating System,3,General OS,Easy,No,2,What is raid?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
214,Operating System,4,General OS,Easy,No,2,Explain file system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
215,Operating System,5,General OS,Easy,No,2,What is directory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
216,Operating System,1,General OS,Easy,No,2,Explain i/o system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
217,Operating System,2,General OS,Easy,No,2,What is disk scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
218,Operating System,3,General OS,Easy,No,2,Explain raid with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
219,Operating System,4,General OS,Easy,No,2,What is file system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
220,Operating System,5,General OS,Easy,No,2,Explain directory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
221,Operating System,1,General OS,Easy,No,2,What is i/o system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
222,Operating System,2,General OS,Easy,No,2,Explain disk scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
223,Operating System,3,General OS,Easy,No,2,What is raid?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
224,Operating System,4,General OS,Easy,No,2,Explain file system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
225,Operating System,5,General OS,Easy,No,2,What is directory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
226,Operating System,1,General OS,Easy,No,2,Explain i/o system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
227,Operating System,2,General OS,Easy,No,2,What is disk scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
228,Operating System,3,General OS,Easy,No,2,Explain raid with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
229,Operating System,4,General OS,Easy,No,2,What is file system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
230,Operating System,5,General OS,Easy,No,2,Explain directory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
231,Operating System,1,General OS,Easy,No,2,What is i/o system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
232,Operating System,2,General OS,Easy,No,2,Explain disk scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
233,Operating System,3,General OS,Easy,No,2,What is raid?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
234,Operating System,4,General OS,Easy,No,2,Explain file system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
235,Operating System,5,General OS,Easy,No,2,What is directory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
236,Operating System,1,General OS,Easy,No,2,Explain i/o system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
237,Operating System,2,General OS,Easy,No,2,What is disk scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
238,Operating System,3,General OS,Easy,No,2,Explain raid with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
239,Operating System,4,General OS,Easy,No,2,What is file system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
240,Operating System,5,General OS,Easy,No,2,Explain directory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
241,Operating System,1,General OS,Easy,No,2,What is i/o system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
242,Operating System,2,General OS,Easy,No,2,Explain disk scheduling with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
243,Operating System,3,General OS,Easy,No,2,What is raid?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
244,Operating System,4,General OS,Easy,No,2,Explain file system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
245,Operating System,5,General OS,Easy,No,2,What is directory?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
246,Operating System,1,General OS,Easy,No,2,Explain i/o system with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
247,Operating System,2,General OS,Easy,No,2,What is disk scheduling?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
248,Operating System,3,General OS,Easy,No,2,Explain raid with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
249,Operating System,4,General OS,Easy,No,2,What is file system?,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
250,Operating System,5,General OS,Easy,No,2,Explain directory with example.,"This answer depends on the concept. Generally, it explains the definition and working of the topic in operating systems."
